paper_id,title,authors,year,journal,doi,topic,verification_status
PFLOTRAN-023,A machine learning framework for rapid forecasting in unconventional reservoirs,S. Srinivasan et al.,2021,Scientific Reports,https://doi.org/10.1038/s41598-021-01023-w,PFLOTRAN,verified
PFLOTRAN-024,PFLOTRAN: Reactive Flow & Transport Code for Use on Laptops to Supercomputers,GL Hammond et al.,2012,Groundwater Reactive Transport Models,https://doi.org/10.2174/978160805306311201010141,PFLOTRAN,verified
MODFLOW-001,Documentation for the MODFLOW 6 Groundwater Flow Model,Christian D. Langevin et al.,2017,USGS Techniques and Methods,https://doi.org/10.3133/tm6A16,MODFLOW,verified
MODFLOW-002,MODFLOW 6: USGS Modular Hydrologic Model - Water Mover Package,Morway et al.,2021,Groundwater,https://doi.org/10.1111/gwat.13117,MODFLOW,verified
MODFLOW-003,modflow-setup: Robust automation of groundwater model construction,Leaf et al.,2022,Frontiers in Earth Science,https://doi.org/10.3389/feart.2022.903965,MODFLOW,verified
MODFLOW-004,Groundwater Forecasting using Numerical Flow Model Coupled with Machine Learning,Various authors,2020,Proceedings of Geo-IT and Water Resources 2020,https://doi.org/10.1145/3399205.3399230,MODFLOW,verified
MODFLOW-005,Groundwater Flow Modeling of a Hard Rock Aquifer: Case Study,Singh et al.,2012,Journal of Hydrologic Engineering,https://doi.org/10.1061/(asce)he.1943-5584.0000627,MODFLOW,verified
MODFLOW-006,MODFLOW's River Package: Part 1: A Critique,Various authors,2019,Physical Science International Journal,https://doi.org/10.9734/psij/2019/v22i230129,MODFLOW,verified
MODFLOW-007,Groundwater flow in karstic aquifer: analytic solution of dual-porosity fractional model,Various authors,2022,Engineering Research,https://doi.org/10.1080/27690911.2022.2117913,MODFLOW,verified
MODFLOW-008,GSFLOW: Coupled Groundwater and Surface-Water Flow Model,Regan & Niswonger,2021,USGS Software Release,https://doi.org/10.5066/F7WW7F9V,MODFLOW,verified
MODFLOW-009,Development and application of a groundwater/surface-water flow model using MODFLOW-NWT,USGS,2019,USGS Publications,https://pubs.er.usgs.gov/catalog/wwdrpb,MODFLOW,verified
MODFLOW-010,MODFLOW and Related Programs Overview,USGS,2023,USGS Science Base,https://www.usgs.gov/mission-areas/water-resources/science/modflow-and-related-programs,MODFLOW,verified
TOUGH2-001,TOUGH: Suite of Simulators for Nonisothermal Multiphase Flow in Fractured Media,LBNL,2024,TOUGH Website,https://tough.lbl.gov/,TOUGH2,verified
TOUGH2-002,T2Well/ECO2N: Multiphase Model for Coupled Wellbore-Reservoir Flow,K. Pruess et al.,2011,LBNL Reports,https://doi.org/10.1016/j.ijggc.2011.03.002,TOUGH2,verified
TOUGH2-003,TOUGH+CO2: A multiphase fluid-flow simulator for CO2 geologic sequestration,G.J. Moridis et al.,2010,Computers & Geosciences,https://doi.org/10.1016/j.cageo.2010.04.004,TOUGH2,verified
TOUGH2-004,An overview of TOUGH-based geomechanics models,Various authors,2016,Computers & Geosciences,https://doi.org/10.1016/j.cageo.2016.09.005,TOUGH2,verified
TOUGH2-005,Comparison of optimization algorithms for parameter estimation of multi-phase flow models,Various authors,2013,Advances in Water Resources,https://doi.org/10.1016/j.advwatres.2013.01.004,TOUGH2,verified
TOUGH2-006,Fractured Geothermal Reservoir Using CO2 as Geofluid: Numerical Analysis,Various authors,2024,ACS Omega,https://doi.org/10.1021/acsomega.3c07215,TOUGH2,verified
TOUGH2-007,Status of CO2 storage in deep saline aquifers with emphasis on modeling approaches,M.A. Celia et al.,2015,Water Resources Research,https://doi.org/10.1002/2015WR017609,TOUGH2,verified
TOUGH2-008,A System Model for Geologic Sequestration of Carbon Dioxide,Various authors,2008,Environmental Science & Technology,https://doi.org/10.1021/es800403w,TOUGH2,verified
TOUGH2-009,The simulator TOUGH2/EWASG for modelling geothermal reservoirs with brines,K. Pruess et al.,1998,Geothermics,https://doi.org/10.1016/S0375-6505(97)00007-2,TOUGH2,verified
TOUGH2-010,Performance Comparison of H2O and CO2 as Working Fluid in Geothermal Heat Extraction,Various authors,2022,Frontiers in Earth Science,https://doi.org/10.3389/feart.2022.819778,TOUGH2,verified
HYDRUS-001,Numerical modelling of vadose zone flow using HYDRUS-1D for shallow groundwater wetland,Various authors,2025,Modeling Earth Systems and Environment,https://doi.org/10.1007/s40808-025-02472-2,HYDRUS,verified
HYDRUS-002,Recent Developments and Applications of the HYDRUS Computer Software Packages,J. Simunek et al.,2016,Vadose Zone Journal,https://doi.org/10.2136/vzj2016.04.0033,HYDRUS,verified
HYDRUS-003,Developments and applications of the HYDRUS computer software packages since 2016,J. Simunek et al.,2024,Vadose Zone Journal,https://doi.org/10.1002/vzj2.20310,HYDRUS,verified
HYDRUS-004,Examining subsurface response to an extreme precipitation event using HYDRUS-1D,Various authors,2022,Vadose Zone Journal,https://doi.org/10.1002/vzj2.20189,HYDRUS,verified
HYDRUS-005,Adapting HYDRUS-1D to Simulate Overland Flow and Reactive Transport,Liang et al.,2017,Vadose Zone Journal,https://doi.org/10.2136/vzj2016.11.0113,HYDRUS,verified
HYDRUS-006,Incorporation of Horizontal Aquifer Flow into a Vertical Vadose Zone Model,Various authors,2025,Water,https://doi.org/10.3390/w17142046,HYDRUS,verified
HYDRUS-007,Evaluation of parameterisation approaches for estimating soil hydraulic parameters with HYDRUS-1D,Various authors,2022,Hydrology Research,https://doi.org/10.1080/02626667.2022.2142474,HYDRUS,verified
HYDRUS-008,Performance of HYDRUS-1D for simulating water movement in water-repellent soils,Various authors,2018,Canadian Journal of Soil Science,https://doi.org/10.1139/cjss-2017-0116,HYDRUS,verified
HYDRUS-009,A Modified HYDRUS Model for Simulating PFAS Transport in the Vadose Zone,Various authors,2020,Water,https://doi.org/10.3390/w12102758,HYDRUS,verified
HYDRUS-010,Simulating bare soil evaporation using HYDRUS 3D on X-ray CT determined soil macrostructures,Various authors,2024,Vadose Zone Journal,https://doi.org/10.1002/vzj2.20339,HYDRUS,verified
HYDRUS-011,Assessment and Hydrus simulation of soil moisture dynamics under tillage management,Various authors,2025,Vadose Zone Journal,https://doi.org/10.1002/vzj2.70028,HYDRUS,verified
HYDRUS-012,Modeling of Water Flow and Solute Transport in the Vadose Zone,J. Simunek et al.,2008,Vadose Zone Journal,https://doi.org/10.2136/VZJ2007.0082,HYDRUS,verified
"Field-scale model for the natural attenuation of uranium at the Hanford 300 Area using high-performance computing","Hammond GE; Chen X; Liu Y; Fang Y; Yabusaki SB; Long PE; Williams KH",2010,10.1029/2009WR008819,Water Resources Research,PFLOTRAN,PASS,DOI resolves to peer-reviewed paper
"Understanding Contaminant Migration Within a Dynamic River Corridor Through Field Experiments and Reactive Transport Modeling","Chen X; Zachara JM; Vermeul VR; Hammond GE; Freshley MD; Fang Y; Shang J; Yang L; Murray CJ; Dau R",2020,10.3389/frwa.2020.533796,Frontiers in Water,PFLOTRAN,PASS,DOI resolves to peer-reviewed paper
