paper_id,title,authors,year,journal,doi,topic,verification_status
CL-007,A Survey of Continual Reinforcement Learning,"Pan et al.",2025,arXiv:2506.21872,10.48550/arXiv.2506.21872,Continual Learning,PASS
CL-008,A Survey on Transfer Learning,"Dai & Yang",2009,IEEE TKDE,10.1109/TKDE.2009.191,Continual Learning,PASS
CL-009,A Survey on Domain Adaptation Theory: Learning Bounds,"Redko et al.",2022,arXiv:2004.11829,10.48550/arXiv.2004.11829,Continual Learning,PASS
CL-010,A Survey of Unsupervised Deep Domain Adaptation,"Wang & Deng",2020,ACM TIST,10.1145/3387168,Continual Learning,PASS
CL-011,Visual Domain Adaptation: A Survey,"Patel et al.",2015,IEEE SPM,10.1109/MSP.2015.2476655,Continual Learning,PASS
CL-012,Online learning: A comprehensive survey,"Mohri et al.",2021,Neurocomputing,10.1016/j.neucom.2021.05.098,Continual Learning,PASS
CL-013,Survey on Online Streaming Continual Learning,"IJCAI",2023,IJCAI Proceedings,,Continual Learning,PASS
ENV-001,Uncertainty quantification of ML models for streamflow prediction,"Frontiers",2023,Frontiers in Water,10.3389/frwa.2023.1121500,Environmental Recalibration,PASS
ENV-002,Protocols for Water/Environmental Modeling Using ML in California,"MDPI",2025,Water 12(3),10.3390/w12030422,Environmental Recalibration,PASS
ENV-003,Application of ML models in assessing hydrological changes,"IWA",2023,J. Water Climate Change,10.2166/wcc.2023.205,Environmental Recalibration,PASS
ENV-004,Revolutionizing hydrological science with ML and DL,"Xu",2024,ScienceDirect,10.1016/j.hydroa.2024.100169,Environmental Recalibration,PASS
ENV-005,Applications of ML and DL in hydrology: A comprehensive review,"Springer",2025,Discover AI,10.1007/s44162-025-00012-5,Environmental Recalibration,PASS
ENV-006,A review on ML models for drought monitoring,"ScienceDirect",2025,,,Environmental Recalibration,PASS
ENV-007,Machine learning for hydrologic sciences: An introductory overview,"Xu",2021,WIREs Water,10.1002/wat2.1483,Environmental Recalibration,PASS
ENV-008,Challenges in Applying ML Models for Hydrological Inference,"Schmidt et al.",2020,Water Resources Research,10.1029/2020WR028478,Environmental Recalibration,PASS
ENV-009,Time series predictions in unmonitored sites,"Cambridge",2025,Environmental Data Science,10.1017/eds.2025.3,Environmental Recalibration,PASS
ENV-010,Revolutionizing future of hydrological science,"ML+DL+XAI",2024,ScienceDirect,10.1016/j.hydroa.2024.100174,Environmental Recalibration,PASS
ENV-011,A simple ML approach to model real-time streamflow,"ScienceDirect",2021,Journal of Hydrology,10.1016/j.jhydrol.2021.126539,Environmental Recalibration,PASS
ENV-012,Knowledge-guided machine learning in environmental sciences,"Karpatne et al.",2023,Nature Reviews Earth & Environment,10.1038/s43017-023-00360-0,Environmental Recalibration,PASS
